Team A,Team B,Region
ALABAMA,NOTRE DAME,West
ARIZONA,WRIGHT ST.,South
ARKANSAS,VERMONT,West
AUBURN,JACKSONVILLE ST.,Midwest
BAYLOR,NORFOLK ST.,East
BOISE ST.,MEMPHIS,West
COLORADO ST.,MICHIGAN,South
CONNECTICUT,NEW MEXICO ST.,West
DUKE,CAL ST. FULLERTON,West
GONZAGA,GEORGIA ST.,West
HOUSTON,UAB,South
ILLINOIS,CHATTANOOGA,South
IOWA,RICHMOND,Midwest
KANSAS,TEXAS SOUTHERN,Midwest
KENTUCKY,SAINT PETER'S,East
LSU,IOWA ST.,Midwest
MICHIGAN ST.,DAVIDSON,West
MURRAY ST.,SAN FRANCISCO,East
NORTH CAROLINA,MARQUETTE,East
OHIO ST.,LOYOLA CHICAGO,South
PROVIDENCE,SOUTH DAKOTA ST.,Midwest
PURDUE,YALE,East
SAINT MARY'S,INDIANA,East
SAN DIEGO ST.,CREIGHTON,Midwest
SETON HALL,TCU,South
TENNESSEE,LONGWOOD,South
TEXAS,VIRGINIA TECH,East
TEXAS TECH,MONTANA ST.,West
UCLA,AKRON,East
USC,MIAMI FL,Midwest
VILLANOVA,DELAWARE,South
WISCONSIN,COLGATE,Midwest
